region,location,num_of_rooms,size,fee,final_price,initial_price,year_built,mgmt_cost
Stockholm,Södermalm,2,43,2002,3900000,3995000,1968,7200
Stockholm,Kungsholmen,3,83,3096,6310000,5950000,1969,14700
Nacka,JärlaSjö,4,84,4900,5400000,5400000,2017,6000
Nacka,Nacka,4,101,4888,4900000,4695000,2017,6000
Stockholm,HammarbySjöstad,4,92,5066,5995000,5995000,2016,11607
Stockholm,Stockholm,2.5,51,2950,3100000,2595000,1940,11607
Stockholm,Kungsholmen,2,43.5,3255,3900000,3900000,1934,4100
Stockholm,Fruängen,2,43,2259,2550000,2395000,2010,4100
Stockholm,Birkastan,2.5,62,3578,5800000,5250000,1929,9151
Stockholm,Farsta,3,78,4209,2330000,2395000,1958,7200
Stockholm,Västertorp,2.5,53,2988,3020000,2495000,1950,2200
Stockholm,Kungsholmen,3,106,4959,10125000,8695000,1906,4080
Nacka,VästraOrminge,2,61,3224,1970000,1795000,1971,4300
Stockholm,GamlaEnskede,1.5,43,2541,2900000,2500000,1915,4300
Stockholm,Annedal,4,95,5460,4900000,4750000,2014,4300
Stockholm,Stockholm,3,83,4700,2800000,2900000,2016,4300
Stockholm,Hägerstensåsen,2,45,2959,2780000,2495000,2016,4600
Stockholm,Gullmarsplan,1,25,1305,2260000,1995000,2016,3300
Stockholm,Kista,3,81,4799,2250000,2300000,2016,4500
Stockholm,Sofia,1,38,1422,2815000,2495000,1964,5230
Stockholm,Kungsholmen,1,24,1672,2550000,2145000,1929,5230
Stockholm,Åkeshov,2,43,2343,2600000,2150000,2016,8800
Stockholm,Östermalm,4,105.5,6869,10400000,10495000,2019,8400
Sundbyberg,Ör,4,87,3656,3700000,3395000,1965,8400
Stockholm,Årsta,3,60,3175,3050000,2495000,1965,4900
Nacka,HammarbySjöstad,4,95,4241,5325000,5400000,2019,8075
Stockholm,Katarina,2,59,1806,4900000,4250000,1907,5440
Stockholm,Östermalm,3,81,3144,6710000,6495000,1939,5440
Stockholm,Årsta,3,70,4310,3150000,2995000,1951,3300
Stockholm,Hägerstensåsen,3,56,3902,2950000,3050000,1945,3300
Sollentuna,Helenelund,3,73.1,3625,2235000,2350000,1970,4000
Stockholm,Gubbängen,2,57,2932,2550000,2095000,1946,4000
Stockholm,Kungsholmen,2,38.5,2048,3250000,2795000,1931,8244
Stockholm,Östermalm,1,30,2110,3000000,3100000,1937,5700
Solna,VästraSkogen,2,36,1950,2740000,2740000,2016,4368
Stockholm,Södermalm,2,61,3484,5200000,4650000,1945,2676
Stockholm,Fruängen,1,27,2083,2100000,1595000,1955,2400
Solna,Frösunda,3,69,4016,4310000,3495000,1998,8723
Stockholm,Hässelby,5,112,6529,2915000,2750000,1958,3000
Solna,Råsunda,3,81,3789,4850000,4750000,2007,5448
Stockholm,Bagarmossen,3,77,4035,3900000,3295000,2009,6700
Stockholm,Östermalm,1,25,561,2850000,2495000,1942,3000
Stockholm,Kungsholmen,3,50,2905,4700000,4395000,1935,3300
Sundbyberg,Sundbyberg,4,85.5,3845,3070000,2895000,1957,5600
Stockholm,Hammarbyhöjden,2,38,3130,2400000,2095000,1943,4644
Stockholm,Aspudden,3,73,3608,4950000,3895000,1948,8000
Stockholm,NorraDjurgårdsstaden,4,101,5892,9100000,8495000,2013,5652
Stockholm,Stockholm,2,50,3148,3900000,3495000,2013,5728
Nacka,JärlaSjö,1,45,2881,2325000,2085000,2007,6300
Stockholm,Husby,3,80,5212,2500000,2295000,1974,6300
Stockholm,Fruängen,2,55,3102,2750000,2250000,1955,3600
Solna,Huvudsta,2.5,61.2,2028,3000000,2695000,1965,3600
Stockholm,Bromma,2,46,2713,2450000,1995000,1965,6120
Stockholm,Södermalm,3,65,4632,5850000,5475000,1910,6998
Stockholm,Vasastan,2,54,2290,6060000,4950000,1888,3600
Sundbyberg,Sundbyberg,4,87,4843,3515000,3550000,2015,12120
Stockholm,Kungsholmen,3,79,3297,6600000,6195000,2009,9684
Stockholm,Vasastan,4,115,5071,9250000,9450000,1885,6600
Stockholm,Abrahamsberg,2,50,2901,3470000,3495000,2017,6600
Stockholm,Södermalm,2,66,3390,5680000,5250000,1913,5300
Stockholm,Vasastan,4,80.4,3455,7400000,6995000,1913,7200
Stockholm,Enskede,1,44,2473,2580000,2350000,1927,6900
Stockholm,Stockholm,2,59,2393,5200000,4850000,1913,4800
Stockholm,Årsta,2,44.5,2758,2470000,2250000,1943,4800
Sollentuna,Tureberg,2,44,2255,2150000,2095000,2017,5992
Stockholm,Bromma,2,73.5,3271,3450000,2995000,2017,5682
Stockholm,Vasastan,3,81,2523,8000000,6895000,1925,5628
Stockholm,Bromma,2,66,3948,3150000,3150000,2016,9576
Stockholm,Östermalm,2,56,3178,5950000,5595000,1880,9576
Nacka,Nacka,4,97,6316,2650000,2495000,1971,3000
Nacka,JärlaSjö,3,78,5304,4005000,3695000,2006,6600
Stockholm,Kungsholmen,3,84,4584,7550000,7550000,1897,6600
Stockholm,Telefonplan,2,49,2850,3350000,2795000,2008,6300
Stockholm,Hägerstensåsen,2,40,2060,2600000,2095000,1944,6300
Stockholm,Aspudden,2,61,3774,4475000,3795000,1912,6300
Stockholm,Årsta,2,55,2947,2700000,2275000,1945,6300
Stockholm,Hammarbyhöjden,3,62,4179,3800000,3350000,1939,6300
Stockholm,Årsta,2,62,3438,3300000,2850000,1946,6300
Stockholm,Kista,2,59,3645,2995000,2995000,2015,6300
Stockholm,Kungsholmen,2.5,83.2,3778,6210000,5995000,1998,672
Stockholm,NedreGärdet,1,31,1523,3150000,2995000,1938,7200
Solna,SolnaHuvudsta,3,91,4839,3235000,2895000,1965,7200
Solna,Frösunda,3,83.7,4026,5750000,3995000,2002,5900
Stockholm,Vasastan,2,36,1972,3280000,2895000,1936,3800
Stockholm,Södermalm,2,50,3289,4830000,3995000,1942,3800
Sundbyberg,Rissne,4,86,4681,3100000,2695000,2004,9523
Stockholm,Kungsholmen,2.5,56,3395,4250000,3795000,1939,5900
Solna,Huvudsta,1,20,1137,2100000,1980000,1953,4860
Stockholm,Bandhagen,3,67,3437,2100000,1750000,1960,4860
Stockholm,Vasastan,3.5,126,4621,9820000,8450000,1926,7981
Stockholm,Vasastan,2,46,1668,4350000,3950000,1926,5400
Stockholm,Östermalm,1.5,42,1485,3900000,3795000,1973,5400
Solna,Järvastaden,2,42,2367,2750000,2495000,2009,5400
Stockholm,Södermalm,3,80,2301,6800000,6495000,1968,9800
Stockholm,Birkastan,2,53,2609,4900000,4195000,1912,9800
Stockholm,HammarbySjöstad,3,93,5135,5410000,4995000,2005,4700
Stockholm,Enskede,3,68,3812,3100000,2895000,1946,6000
Stockholm,Vasastan,2,52,1827,5300000,4795000,1906,6000
Stockholm,Vasastan,2,65,3250,5560000,5560000,2017,5580
Stockholm,Stockholm,4,111,6302,7325000,7495000,1938,6576
Stockholm,Gubbängen,3,68,5071,2990000,2500000,2004,6240
Nacka,Bastuområdet,4,82.8,4992,3195000,3195000,1985,8004
Stockholm,Hammarbyhöjden,1,26,1206,2350000,1995000,1985,4080
Stockholm,Stureby,2,51,3422,3130000,3130000,2019,5460
Stockholm,Vasastan,3,71,3446,5550000,5495000,1940,11000
Stockholm,HammarbySjöstad,3,68,3131,4875000,4550000,2008,4200
Stockholm,Svedmyra,2,40,2734,2410000,1995000,1949,4700
Stockholm,Vasastan,2,58,3055,5800000,5395000,1899,4800
Stockholm,LångbroPark,3,86,5252,5400000,4395000,2008,5400
Nacka,Nacka,1.5,37,2445,1600000,1495000,2008,4500
Stockholm,Östermalm,3,67,2170,6190000,5995000,1903,4500
Stockholm,Södermalm,2,41.5,2020,3550000,3195000,1903,7400
Stockholm,Örby,4,83,3502,3450000,2975000,1958,3600
Stockholm,GamlaEnskede,4,68,4979,3050000,2950000,1939,3600
Nacka,Nacka,5,122,6069,3550000,3495000,1939,5700
Nacka,Nacka,3,70,4109,2200000,1995000,1939,5000
Stockholm,Kista,3,77,4426,2200000,2195000,1976,6000
Stockholm,Olovslund,4,85,2443,4500000,4395000,1968,5400
Stockholm,Högalid,3,105,5309,8200000,7450000,1906,14700
Stockholm,Kungsholmen,4,83,3423,7670000,6995000,1933,14700
Stockholm,Skärholmen,4,91.5,6533,2340000,2290000,1990,9636
Solna,Råsunda,1,23,1277,2260000,1795000,1990,5060
Sollentuna,SollentunaCentrum,3,71,4119,3450000,3495000,2016,5663
Stockholm,Vasastan,1,21,1559,2670000,2195000,1939,5663
Sollentuna,CentralaSollentuna,2,43,3105,2525000,2600000,2014,2534
Stockholm,Hägerstensåsen,2,46,2193,2700000,2295000,1945,4800
Stockholm,Bromma,2,61,3206,2500000,2500000,1945,4800
Stockholm,Bagarmossen,3,68,4430,3725000,3195000,1954,8100
Stockholm,Spånga,3,81.5,5814,2200000,2275000,1999,10500
Stockholm,Vällingby,2,60,3676,2250000,1995000,1955,6300
Stockholm,Fruängen,2,55,3120,2510000,1995000,1955,6300
Stockholm,Bandhagen,2,49.5,3069,2500000,1995000,1955,3600
Stockholm,Vasastan,3.5,74,2999,8100000,7395000,1903,3600
Stockholm,HammarbySjöstad,4,100.5,5131,9125000,8500000,2012,5000
Stockholm,Midsommarkransen,2,34.5,2291,2700000,2195000,1940,5000
Stockholm,GamlaEnskede,4,100,5277,5275000,4995000,1927,3600
Sundbyberg,CentralaSundbyberg,1,35,2566,2400000,1995000,1945,3600
Stockholm,HammarbySjöstad,2,49,2764,3495000,3495000,2018,3600
Stockholm,Stockholm,2,57.2,3827,3212500,3212500,2004,3600
Sundbyberg,Sundbyberg,3,71,4864,4430000,3995000,2004,3600
Stockholm,Kungsholmen,3,68,3439,5510000,4795000,1927,5900
Stockholm,Mariaberget,3,67,3146,6650000,5795000,1892,5400
Stockholm,Hjorthagen,2,44,2961,3240000,3250000,1936,5400
Sollentuna,HäggvikStrand,1,38,2264,2075000,1995000,2018,5400
Stockholm,Annedal,5,118,6181,6000000,5495000,2017,5900
Solna,Bergshamra,2,60.5,2933,3325000,2850000,1960,4000
Solna,Hagalundsparken,3,73.5,4350,4080000,3975000,2012,6600
Solna,Råsunda,3,105,3960,7055000,6495000,1911,10764
Nacka,Ljuskärrsberget,3,77.8,3829,2010000,1995000,1911,11064
Stockholm,Stockholm,2,39,1843,3620000,3350000,1913,3900
Sundbyberg,CentralaSundbyberg,1,24,1310,2300000,1995000,1947,3900
Stockholm,Vasastan,2,66,1105,6110000,5495000,1916,3900
Sundbyberg,LillaAlby,3,80.5,4308,4350000,3850000,1965,3900
Stockholm,Bromma,2,39,2686,2800000,2350000,1945,3900
Solna,Huvudsta,1,17,1118,1800000,1595000,1953,4500
Sollentuna,Tureberg,3,87.3,3974,2350000,1895000,1967,4500
Stockholm,Ruddammen,2,64.5,3616,4100000,3895000,1992,4500
Stockholm,Årsta,4,97,5291,5000000,4695000,2016,12180
Solna,Järvastaden,1,42,2693,2225000,2250000,2019,4265
Sollentuna,Silverdal,3,79,4857,3500000,3500000,2013,4265
Stockholm,Telefonplan,2,35,2291,2800000,2195000,1939,4752
Stockholm,Liljeholmskajen,2,62,3109,4300000,3795000,1939,4752
Stockholm,Skarpnäck,3,71,4933,2730000,2395000,1985,4200
Stockholm,Vällingby,4,66,3768,2600000,2475000,2009,4200
Stockholm,Råcksta,2,67.5,4209,2150000,1995000,2010,2400
Stockholm,Kungsholmen,4,83,2762,9060000,8250000,1887,7994
Solna,SolnaC,2,60,3516,3450000,3450000,2003,7994
Stockholm,Fredhäll,2.5,67,3300,5125000,4750000,1935,11668
Stockholm,Södermalm,2,46,2540,3990000,3495000,1938,10476
Stockholm,Hägerstensåsen,2,51,2964,2850000,2195000,1945,2200
Stockholm,Bromma,4,92,5205,7300000,6495000,1945,8206
Stockholm,Östermalm,4,106,4908,11100000,10500000,1968,7200
Stockholm,Södermalm,3,71,3280,6220000,5395000,1926,8160
Stockholm,Södermalm,1,29.5,1275,2500000,2295000,1964,3960
Solna,Frösunda,5,119,5699,6200000,5950000,2013,11100
Stockholm,Årsta,4,72,4632,3250000,3175000,1951,11100
Stockholm,Bromma,2,61.7,3053,3660000,2975000,1938,4400
Sundbyberg,CentralaSundbyberg,3,88.5,5990,4495000,4495000,1999,4400
Stockholm,HammarbySjöstad,4,84,6355,8850000,7995000,2001,7200
Stockholm,Aspudden,2.5,71,3450,4530000,3795000,1949,7200
Stockholm,Bromma,3,80.5,4302,3970000,3795000,2012,7200
Stockholm,Årsta,2,64.5,3849,3900000,3295000,2008,4200
Stockholm,Gärdet,2,60.5,2545,4795000,4795000,2010,6000
Stockholm,Hässelby,3,73,4552,2410000,2195000,1958,6200
Solna,Huvudsta,3,76,3432,3650000,3395000,1983,6200
Solna,Råsunda,3,74.5,4226,5100000,4295000,1944,7920
Stockholm,Bromma,1,28,1850,1815000,1475000,1967,7920
Stockholm,Kista,4,100,5853,2995000,2995000,1977,7200
Stockholm,Vasastan,4,98,3835,10300000,9475000,1895,6000
Stockholm,Södermalm,2.5,70,3508,6350000,5475000,1926,9900
Solna,Råsunda,4,86,2769,5800000,5800000,1932,17304
Stockholm,Liljeholmen,3,78.5,3575,4800000,4495000,2005,17304
Stockholm,Årsta,3,67.5,3745,3450000,3450000,1962,17304
Stockholm,Katarina,2,66.5,3223,4950000,4495000,1930,17304
Stockholm,HammarbySjöstad,1.5,44.5,2727,2975000,2950000,2019,3900
Stockholm,Södermalm,1,33,2212,2980000,2550000,1911,3240
Stockholm,Årsta,3,58.5,3861,2900000,2475000,1944,3240
Stockholm,Midsommarkransen,2,31,2635,2670000,1995000,1940,3240
Stockholm,Skarpnäck,3,71,4455,2510000,1995000,1940,9456
Solna,SolnaVästraSkogen,1,44.5,2225,2350000,1995000,1962,3996
Stockholm,Vasastan,1,28,1560,2700000,2395000,1929,3400
Stockholm,Vasastan,2.5,72,3893,5170000,4995000,1924,3400
Stockholm,Södermalm,3,77,4533,4740000,4595000,1991,3400
Sundbyberg,SundbybergStrand,2,54.5,3480,3200000,2995000,2017,7736
Stockholm,Fruängen,2,43,2410,2650000,1995000,2014,5400
Stockholm,Västertorp,3,75,3312,3700000,2995000,1949,5400
Stockholm,Farsta,2,64,5085,2235000,1595000,1949,5400
Stockholm,Johanneshov,2,52,3575,3250000,2995000,1943,6100
Stockholm,NedreGärdet,3,83,4305,8300000,6895000,1932,6100
Stockholm,Vasastan,2,46,2480,4150000,3995000,1929,6500
Nacka,Sickla,4,100,4153,7495000,7495000,2009,6300
Stockholm,Kungsholmen,2,39,2735,3285000,2895000,1939,4860
Stockholm,Midsommarkransen,2,35,2235,2830000,2195000,1940,3911
Stockholm,Liljeholmskajen,3,77.5,3794,5170000,4250000,2003,5640
Solna,VästraSkogen,2,38,2058,2730000,2395000,2016,3895
Stockholm,Kungsholmen,1,22.5,1069,2350000,1950000,1950,4000
Stockholm,Hagastaden,2,41,2610,3550000,3550000,2018,3480
Stockholm,Östermalm,1,28,1379,2995000,2995000,1883,3768
Stockholm,Kungsholmen,2,44,1820,4200000,3495000,1931,3768
Stockholm,Västertorp,4,91,4875,4250000,3795000,1956,5700
Solna,Solna,3.5,78,3492,4000000,3795000,1957,9036
Stockholm,Enskede,2,53,3056,2560000,2295000,1947,4000
Nacka,Kummelnäs,4,135,6525,8450000,7950000,1907,4000
Nacka,Finntorp,3,79.5,3893,3400000,3495000,1907,5400
Stockholm,Kungsholmen,2,53.5,3473,4200000,4150000,2015,3804
Stockholm,Skärmarbrink,3,60,4059,3920000,3495000,2015,3804
Stockholm,Vasastan,2,55,3110,5000000,4595000,1919,6600
Stockholm,Vasastan,2,44,985,4400000,3995000,1884,4800
Stockholm,HammarbySjöstad,2,62.5,3388,4350000,4195000,2016,4000
Stockholm,Kungsholmen,2,38,1552,3100000,2775000,1936,2400
Stockholm,Älvsjö,3,83,4414,3150000,2850000,1966,3600
Stockholm,Södermalm,3.5,71,3767,6000000,5475000,1931,6800
Nacka,Saltsjöbaden,3,66,2743,2950000,3200000,1960,4200
Stockholm,Liljeholmen,4,76,4005,5400000,4995000,1960,7200
Stockholm,Vasastan,2,51,2929,4450000,4450000,1905,7200
Stockholm,Vasastan,3,88,3257,7500000,7350000,1881,9600
Stockholm,Vasastan,2,46,1890,4300000,3950000,1929,9600
Stockholm,Vasastan,3,121,1089,12250000,11500000,1905,7000
Stockholm,HammarbySjöstad,3,82,4587,6050000,5695000,1905,8400
Stockholm,Östermalm,2,51,2890,5200000,4950000,1884,9000
Stockholm,Östermalm,4,85,420,10200000,9500000,1884,9000
Stockholm,Kungsholmen,1,31,1543,3230000,2995000,1937,6000
Stockholm,Östermalm,2,67,2953,7800000,6995000,1883,6000
Stockholm,Bagarmossen,3,72,4515,3640000,3500000,1954,4800
Stockholm,Kungsholmen,1,36.5,1944,2850000,2695000,1954,4400
Stockholm,Vasastan,3,87,3761,8310000,7495000,1927,4400
Stockholm,Vasastan,3,64,3909,7750000,7295000,2018,4428
Stockholm,Vasastan,2,60,2676,4495000,4495000,1924,4428
Stockholm,Östermalm,1,33.5,1856,3285000,2695000,1933,4428
Stockholm,Katarina,3,90,2673,6700000,5950000,1971,7120
Stockholm,Östermalm,3,84,3869,7550000,7495000,1932,9804
Sollentuna,Helenelund,2,76,4290,2850000,2495000,2009,4500
Stockholm,Stureby,2,55,3510,2375000,1950000,1952,6000
Stockholm,Kungsholmen,3,80,4473,8950000,6950000,1898,6000
Stockholm,Stockholm,2,48,1758,4550000,4475000,1910,4800
Stockholm,Midsommarkransen,1.5,37,2116,2715000,2195000,2012,6168
Solna,SolnaJärvastaden,2,47,2857,2820000,2395000,2013,6168
Sundbyberg,CentralaSundbyberg,1,41,2898,2410000,1995000,1944,3500
Sollentuna,Rotsunda,4,97.8,7502,1950000,1995000,1989,3500
Sundbyberg,Rissne,3,77,4349,2285000,1995000,1988,3500
Stockholm,Bromma,1,31,1632,1950000,1790000,1952,5400
Solna,Råsunda,2,59,3263,3610000,2995000,1944,7368
Stockholm,Katarina,3,69,2602,6300000,5495000,1904,7368
Sundbyberg,SundbybergStoraUrsvik,2,52.2,3195,2450000,2195000,2013,7368
Stockholm,Årsta,5,109,5831,5630000,5395000,2016,7368
Stockholm,Ormkärr,3,73,4572,2120000,1975000,1958,5580
Stockholm,Södermalm,2.5,62,2279,5125000,4495000,1924,5580
Stockholm,Hässelby,2,53,3247,2150000,1995000,2002,5100
Stockholm,Kungsholmen,1,36,2372,2810000,2900000,1934,5484
Stockholm,Årsta,3,81,4596,4950000,4295000,2017,6600
Sollentuna,Tureberg,3,87.3,3974,2490000,1995000,1967,7200
Sundbyberg,Ursvik,4,81,4025,3200000,2995000,2012,13034
Sundbyberg,CentralaSundbyberg,3,76,4768,3400000,2795000,2012,13034
Stockholm,Midsommarkransen,1.5,34.5,2291,2520000,1995000,1939,13034
Stockholm,Vasastan,3,85,2815,8050000,7850000,1939,13034
Stockholm,Högalid,2,42.5,1803,3240000,2850000,1965,13034
Stockholm,Liljeholmskajen,2,70,3784,4500000,3995000,2010,8100
Stockholm,Aspudden,2.5,58,3631,3820000,3095000,1949,4900
Stockholm,Spånga,2,40,2333,1730000,1750000,2018,4900
Stockholm,Enskededalen,3,68,2859,3625000,3095000,2012,11424
Stockholm,Kärrtorp,3,71,4421,2800000,2800000,1949,5891
Nacka,Finntorp,2,59.5,2989,2780000,2595000,1951,5900
Stockholm,Bagarmossen,2,57,3223,2850000,2295000,1954,4700
Nacka,Jarlaberg,3,89.5,5946,4995000,4995000,1989,7000
Stockholm,Södermalm,1,33,2382,2810000,2495000,1937,5700
Stockholm,Södermalm,3,76,1553,7500000,5995000,1930,11832
Solna,Råsunda,5,116.5,6996,7700000,6250000,2006,8496
Stockholm,SödraÄngby,6,103,3929,6710000,5950000,1937,8496
Solna,Skytteholm,2,53,2852,2690000,2295000,1959,7536
Solna,GamlaHuvudsta,2,68,2645,3275000,2750000,1950,6717
Stockholm,Vasastan,2,68,2942,6000000,5395000,1924,8997
Stockholm,Södermalm,2,53,1361,4700000,4195000,1912,8416
Solna,Järvastaden,3,79,4443,3915000,3650000,2017,7800
Sundbyberg,CentralaSundbyberg,1,35,1935,2800000,2800000,2017,4275
Solna,Råsunda,3,89,4786,7200000,5695000,2009,11208
Stockholm,Fruängen,4,80,3630,3940000,2995000,1957,11208
Sollentuna,Sjöberg,4,103,5668,4000000,3695000,1991,6600
Stockholm,Kungsholmen,1.5,45,2168,3000000,2495000,1929,6600
Stockholm,Södermalm,3,67,3084,5670000,4995000,1929,10560
Stockholm,Katarina,3,75,3198,6200000,5395000,1987,7800
Stockholm,Stockholm,3,106,3598,8820000,7950000,1927,7800
Solna,Råsunda,2,50,2792,3450000,3500000,2019,7800
Stockholm,Vasastan,2,61,2340,5550000,5175000,1906,7800
Stockholm,Bandhagen,2,56.5,3324,2700000,2095000,1955,7361
Stockholm,Telefonplan,2,45,3190,2710000,2295000,1940,5050
Stockholm,SpångaTensta,4,94,6447,2050000,1995000,1969,3000
Solna,SolnaHagalund,4,89,4397,3650000,2995000,1973,3000
Stockholm,Södermalm,1.5,39,1665,6115000,3995000,1883,5400
Stockholm,Midsommarkransen,2,59,3798,3425000,2695000,1944,5400
Sundbyberg,Sundbyberg,4,84,3045,4140000,3395000,1961,8952
Stockholm,NorraDjurgårdsstaden,1,36,1950,3210000,2695000,2016,4164
Stockholm,Södermalm,2,56,1923,5250000,4650000,1984,4164
Stockholm,Aspudden,2,45,2925,3080000,2595000,1947,4368
Stockholm,Kungsholmen,2,45,2453,3600000,3195000,1947,7824
Stockholm,Midsommarkransen,1,35,2193,2395000,2395000,2019,7824
Stockholm,Sköndal,2.5,57,3082,2450000,2095000,1950,5304
Stockholm,Vasastan,3,63,2987,6570000,5975000,1900,6000
Stockholm,Johanneshov,5,107,6193,6910000,5500000,1900,6000
Stockholm,Vasastan,2,59,3233,5900000,4995000,1904,4000
Stockholm,Bagarmossen,1,19,1574,1700000,1475000,1953,5160
Stockholm,Hägersten,2,65,2754,2720000,2350000,1970,6096
Stockholm,Gärdet,4,107,4086,9100000,9495000,1951,8988
Stockholm,Kungsholmen,2.5,71,2872,5900000,5195000,1926,4500
Stockholm,Södermalm,2,46,3065,4920000,3900000,1926,5472
Stockholm,Gröndal,3,81,2438,4800000,4495000,1981,5472
Stockholm,Aspudden,3,74,3608,4900000,3995000,1949,6600
Stockholm,Aspudden,1,32,1741,2650000,2295000,1911,5400
Solna,Frösunda,4,87,5156,4900000,4900000,2008,5000
Stockholm,Vällingby,2,58,3470,2100000,1695000,1953,5000
Solna,Råsunda,2,73,4032,3840000,3595000,1910,12800
Sollentuna,Edsberg,3,70,3647,2000000,1895000,1964,12800
Stockholm,Vasastan,4,93,1826,9900000,8750000,1972,2160
Stockholm,Svedmyra,2,57,2772,2950000,2395000,1950,6000
Solna,VästraSkogen,4,94,5022,5540000,4895000,2015,9523
Stockholm,Kungsholmen,3,96.1,2863,8500000,8595000,1888,9523
Stockholm,LillaEssingen,3,91.5,4765,4950000,4850000,2005,9523
Solna,Frösunda,3,79,4692,4050000,3795000,2007,4200
Stockholm,HammarbySjöstad,3,77,4274,5275000,5295000,2019,6600
Sundbyberg,Rissne,2,48,2404,2400000,2395000,1985,6600
Stockholm,Liljeholmskajen,3,87,3682,5200000,4695000,2004,9564
Stockholm,Snösätra,4.5,124,6641,3000000,2395000,2004,6000
Stockholm,Vasastan,2,54,3078,4300000,3995000,1919,6000
Stockholm,Hammarbyhöjden,2,42,2609,2760000,2390000,1942,5600
Stockholm,Hammarbyhöjden,2,46,2426,2900000,2575000,1944,5600
Stockholm,Östermalm,2.5,64,2836,7400000,7900000,1914,6000
Stockholm,Vasastan,2,66,2918,5450000,5095000,1898,6000
Sollentuna,Kvarnskogen,2.5,73,4073,2695000,2695000,2009,6000
Stockholm,Bromma,4.5,101,5576,3300000,3095000,1992,7200
Stockholm,Kungsholmen,1,28.5,2220,2875000,2495000,1935,4200
Stockholm,Kungsholmen,1,29,1712,2820000,2450000,1933,8184
Stockholm,Kungsholmen,2,51,2922,3425000,2975000,1943,3000
Stockholm,Vasastan,2,43,2115,4050000,3495000,1901,5300
Solna,Råsunda,3,68,3959,5100000,4495000,1901,6000
Stockholm,LångbroPark,4,109.5,6501,6850000,6495000,1910,5000
Stockholm,Vasastan,1,27,1529,2950000,2495000,1929,5000
Stockholm,Högdalen,1,28.5,1721,2000000,1695000,1929,2600
Stockholm,Södermalm,2.5,61,2742,5250000,4775000,1929,8600
Stockholm,Gröndal,5,152,7600,10800000,11500000,1929,8600
Stockholm,Södermalm,3.5,95,4116,7800000,7595000,1929,8400
Stockholm,Kungsholmen,2,47,1112,4500000,3995000,1930,8400
Stockholm,Hägersten,2,53,3211,3050000,3195000,1930,4800
Stockholm,Kungsholmen,1,35,1893,3510000,2975000,1909,4400
Stockholm,Liljeholmskajen,3,71.5,4311,4900000,4275000,2005,4400
Stockholm,Vasastan,2.5,64,2727,6400000,5750000,1928,4400
Stockholm,Kungsholmen,2,64,4324,4750000,4295000,1925,7773
Solna,Råsunda,3,72,3540,5100000,5100000,1912,5800
Nacka,Finntorp,2,53,2903,2750000,2750000,1953,5856
Stockholm,Vasastan,4,103,5158,9675000,8750000,1903,5856
Solna,Hagalund,3,67.5,2734,3120000,2695000,1971,5856
Stockholm,Ulvsunda,2,42,3388,2275000,2275000,1940,5400
Stockholm,Abrahamsberg,3,78,3512,3800000,3495000,1945,5000
Stockholm,Maria,2,57,3208,5725000,4650000,1881,9200
Stockholm,Maria,2,31,2364,3560000,2795000,1906,5536
Stockholm,Skarpnäck,3,80,5424,2200000,1895000,1984,11473
Stockholm,Katarina,1,53,3313,3090000,2850000,2019,3230
Stockholm,NorraDjurgårdsstaden,2,48,2810,4375000,4195000,2016,3230
Sundbyberg,Sundbyberg,3,75,3776,5210000,4390000,1998,4950
Solna,Råsunda,2,54.5,3133,3800000,3350000,1944,13152
Sundbyberg,LillaAlby,3,71.5,4096,3830000,3495000,1995,3960
Stockholm,Östermalm,3,69,4346,5450000,4995000,1941,2496
Stockholm,Ekhagen,3,71,3893,4850000,4250000,1935,2496
Stockholm,Gamla Stan,1,42,2168,4200000,4200000,1600,2496
Stockholm,Östermalm,1,34,1695,3150000,2695000,1962,6192
Stockholm,Husby,4,91,5914,2550000,1995000,1974,6192
Stockholm,Vasastan,1.5,36,1645,3400000,2850000,1971,1776
Stockholm,Kista,4,100,5988,3200000,3195000,1977,4400
Stockholm,Södermalm,1,33,1983,2700000,2595000,1939,3982
Stockholm,Liljeholmen,2,51.5,2539,3870000,3495000,2005,3982
Sundbyberg,CentralaSundbyberg,2,43,2209,3050000,2495000,2015,2400
Stockholm,Östermalm,2,41,2369,3995000,3995000,2019,3730
Stockholm,HammarbySjöstad,1,31,2172,2175000,1995000,2018,4800
Stockholm,HammarbySjöstad,1,34,2103,2250000,2250000,2018,7260
Solna,Arenastaden,3,69,4399,4020000,3695000,2019,7260
Stockholm,Bromma,2,43,2509,2650000,1995000,1945,5760
Stockholm,Stockholm,3,66,3531,6050000,5875000,1980,5760
Solna,Skytteholm,5,103,5528,4420000,4420000,1959,5700
Solna,Järvastaden,4,99,4459,4800000,4395000,2008,6600
Stockholm,Kista,6,118,7278,3300000,2995000,1979,6600
Stockholm,Vasastan,2,43,2185,4325000,3850000,1926,2616
Stockholm,Kungsholmen,2,45,3123,2500000,2395000,1926,6396
Stockholm,Södermalm,2,45,2655,4400000,3595000,1884,6600
Solna,Råsunda,3,69.5,4220,4550000,3495000,1953,5900
Stockholm,Vasastan,4,127,4543,13550000,11500000,1911,5900
Solna,Råsunda,1,17,1324,1800000,1495000,1952,3500
Solna,SolnaCentrum,1,19,910,2150000,1695000,1951,4620
Stockholm,Sköndal,3,79.3,4263,3150000,2495000,1995,6600
Stockholm,Bromma,2,56,3525,2990000,2495000,2004,6600
