region,location,num_of_rooms,size,fee,final_price,initial_price,year_built,mgmt_cost
Stockholm,Östermalm,2,50,1895,6000000,5495000,1966,5400
Nacka,VästraOrminge,3,81,5530,2100000,2100000,1969,3600
Stockholm,Gärdet,2,43,2150,3550000,3450000,2014,3600
Stockholm,Kungsholmen,2,61,2065,5710000,4695000,1886,6600
Stockholm,HammarbySjöstad,2,45,3316,2930000,2995000,2003,9300
Stockholm,Vasastan,1,32,1689,3350000,2850000,1923,9300
Stockholm,Högalid,2,50,3057,4950000,3995000,2015,6200
Stockholm,Högalid,3,72,3296,6900000,5950000,1913,7600
Stockholm,Hornstull,2,55,1801,4550000,4150000,1965,6460
Stockholm,NorraDjurgårdsstaden,4,102.8,2881,10500000,10500000,2018,471
Stockholm,Östermalm,2,44,2434,3760000,3495000,1941,471
Stockholm,Mariaberget,2,50,3201,5670000,4450000,1939,4556
Stockholm,Hökarängen,2,47,3438,2410000,1995000,2011,6000
Stockholm,Kungsholmen,1,28,1850,2780000,2250000,1952,6000
Stockholm,Kungsholmen,1.5,32,1984,2770000,2395000,1938,6000
Stockholm,Midsommarkransen,2,37,3145,2710000,1995000,1940,4300
Stockholm,Kungsholmen,3,69,3717,6200000,5950000,1938,4000
Stockholm,Vasastan,2,65,3084,6750000,6250000,1909,4000
Sundbyberg,Hallonbergen,3,82.1,3693,2650000,2295000,1970,4000
Sundbyberg,Ursvik,3,78,3799,3400000,2995000,2016,4800
Sundbyberg,Sundbyberg,2,47,2733,2300000,2300000,2018,3756
Stockholm,Vasastan,2,39,2428,3700000,3395000,1944,3756
Stockholm,Vasastan,2,48,2046,4330000,4095000,1982,3756
Stockholm,Sätra,2,57,3904,2300000,1995000,1965,3756
Stockholm,Stockholm,2,48,3301,2330000,1995000,2009,3756
Stockholm,Bromma,3,74,4117,4250000,3790000,2012,7200
Stockholm,Stockholm,3,65,2680,5600000,4995000,1943,7500
Stockholm,Vasastan,2,43.5,2217,4525000,3795000,2009,4500
Solna,HagaNorra,4,96.8,4636,4650000,4750000,1993,8523
Stockholm,Bromma,3,80,4740,3500000,3395000,2015,8772
Stockholm,HammarbySjöstad,3,83,4469,6500000,6500000,2016,8772
Sundbyberg,CentralaSundbyberg,2,54,3117,2825000,2495000,1989,8772
Nacka,Sickla,1,25,1627,2000000,1995000,1958,8772
Stockholm,Södermalm,2,47,2696,4450000,3895000,1928,4620
Stockholm,Södermalm,2,47,2551,3850000,3495000,1930,6000
Stockholm,Årsta,2,40,2957,2500000,2175000,1945,6000
Stockholm,Årsta,3,71,5089,3700000,2995000,2004,4200
Stockholm,Hägerstensåsen,1,20,1659,2000000,1595000,1947,3900
Stockholm,Fruängen,2,43,2307,2650000,2390000,2007,3000
Stockholm,Stockholm,1,26,1578,2050000,1695000,1938,5340
Stockholm,Södermalm,1,22,1673,2580000,2095000,1938,1200
Stockholm,Årsta,1,27,2081,2180000,1750000,1962,3600
Stockholm,Östermalm,1,28.5,1489,3300000,2795000,1931,3600
Stockholm,Bagarmossen,2,53,3907,2687000,2295000,1953,1800
Stockholm,Bromma,3,62,4397,3000000,2695000,2002,9084
Stockholm,Södermalm,2,34,2118,3340000,2750000,1939,4700
Stockholm,Stockholm,1,50,3568,2000000,1495000,1985,4700
Stockholm,Hammarbyhöjden,2,58,3253,3500000,2950000,1949,5220
Stockholm,Bromma,1.5,36,2784,2300000,1995000,2015,5400
Stockholm,Hammarbyhöjden,3,66,4644,3620000,3395000,1942,5400
Stockholm,Hässelby,2,53,3167,2220000,1995000,2011,5313
Stockholm,Traneberg,2,51,2973,3125000,2895000,1939,4860
Stockholm,Kristineberg,2,38,3042,3250000,2495000,1934,3800
Stockholm,Bromma,2,56,3870,2650000,2095000,1940,6960
Stockholm,Sundby,4,97,5067,4270000,3975000,2006,21792
Stockholm,Farsta,3,82,5157,2900000,2800000,2009,9350
Stockholm,Årsta,2,42.5,2641,2460000,2175000,1943,9350
Stockholm,Södermalm,2,45,2138,4540000,3995000,1945,3120
Stockholm,Aspudden,1,29,1636,2375000,1895000,1944,3120
Solna,Råsunda,3,55,3015,3695000,3695000,2019,3120
Stockholm,Mariatorget,3,77,2882,7350000,6795000,1916,5900
Solna,Järvastaden,4,89,5221,4700000,4395000,1916,5900
Stockholm,Årsta,3,73,3863,4080000,3695000,1946,7260
Stockholm,Kungsholmen,2,55,3553,3520000,3495000,1925,7260
Sollentuna,Edsängen,3,54,2809,2350000,1995000,2011,4200
