region,dist_to_central_st,num_of_rooms,size,fee,final_price,initial_price,year_built
Sundbyberg,1004,3,82.1,3693,2650000,2295000,1970
Sundbyberg,235,3,78,3799,3400000,2995000,2016
Sundbyberg,2240,2,47,2733,2300000,2300000,2018
Stockholm,500,2,39,2428,3700000,3395000,1944
Stockholm,1227,2,48,2046,4330000,4095000,1982
Stockholm,1403,2,57,3904,2300000,1995000,1965
Stockholm,1602,2,48,3301,2330000,1995000,2009
Stockholm,1653,3,74,4117,4250000,3790000,2012
Stockholm,542,3,65,2680,5600000,4995000,1943
Stockholm,700,2,43.5,2217,4525000,3795000,2009
Solna,1487,4,96.8,4636,4650000,4750000,1993
Stockholm,1272,3,80,4740,3500000,3395000,2015
Stockholm,1012,3,83,4469,6500000,6500000,2016
Sundbyberg,1059,2,54,3117,2825000,2495000,1989
Nacka,1400,1,25,1627,2000000,1995000,1958
Stockholm,781,2,47,2696,4450000,3895000,1928
Stockholm,1079,2,47,2551,3850000,3495000,1930
Stockholm,1515,2,40,2957,2500000,2175000,1945
Stockholm,1070,3,71,5089,3700000,2995000,2004
Stockholm,1104,1,20,1659,2000000,1595000,1947
Stockholm,1701,2,43,2307,2650000,2390000,2007
Stockholm,1398,1,26,1578,2050000,1695000,1938
Stockholm,1151,1,22,1673,2580000,2095000,1938
Stockholm,1256,1,27,2081,2180000,1750000,1962
Stockholm,528,1,28.5,1489,3300000,2795000,1931
Stockholm,1360,2,53,3907,2687000,2295000,1953
Stockholm,1274,3,62,4397,3000000,2695000,2002
Stockholm,716,2,34,2118,3340000,2750000,1939
Stockholm,1372,1,50,3568,2000000,1495000,1985
Stockholm,996,2,58,3253,3500000,2950000,1949
Stockholm,1272,1.5,36,2784,2300000,1995000,2015
Stockholm,1109,3,66,4644,3620000,3395000,1942
Stockholm,2379,2,53,3167,2220000,1995000,2011
Stockholm,1550,2,51,2973,3125000,2895000,1939
Stockholm,811,2,38,3042,3250000,2495000,1934
Stockholm,1535,2,56,3870,2650000,2095000,1940
Stockholm,2446,4,97,5067,4270000,3975000,2006
Stockholm,1511,3,82,5157,2900000,2800000,2009
